job_id=605824
array_job_id=605824
array_task_id=1
job_name=vs3n2st2
partition=epyc
node_list=fov
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt001_staged_full
case_label=gauss_sigma1p000
mode=gauss
sigma=1.0
planning_estimate=staged local dt: shoulders dt/10, core dt/20, 277470 steps; 32-core benchmark gauss ~0.23 s/step near s=0.25
start_time=2026-07-09T16:31:40+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p01_staged_gauss_sigma1p000 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 17500/277470 6.3% t=98.92987 eta_s=55716.9 E=-0.99777691 P=0.81135241 dP=-0.18830648 r12=7.94699899 Vg=0.00001000 norm=1.00000000 rank=29/256 sv_max=7.70e+02 resid=1.76e-01
progress N=2 step 17750/277470 6.4% t=99.17987 eta_s=55679.3 E=-0.99673492 P=0.81051485 dP=-0.18914404 r12=7.94590934 Vg=0.00001040 norm=1.00000000 rank=30/256 sv_max=7.64e+02 resid=1.85e-01
progress N=2 step 18000/277470 6.5% t=99.42987 eta_s=55643.0 E=-0.99569682 P=0.80962992 dP=-0.19002897 r12=7.94468388 Vg=0.00001042 norm=1.00000000 rank=29/256 sv_max=7.54e+02 resid=2.00e-01
progress N=2 step 18250/277470 6.6% t=99.67987 eta_s=55606.4 E=-0.99466275 P=0.80871479 dP=-0.19094410 r12=7.94330975 Vg=0.00000990 norm=1.00000000 rank=29/256 sv_max=7.51e+02 resid=2.15e-01
progress N=2 step 18500/277470 6.7% t=99.92987 eta_s=55571.6 E=-0.99363283 P=0.80777626 dP=-0.19188263 r12=7.94187510 Vg=0.00000922 norm=1.00000000 rank=29/256 sv_max=7.50e+02 resid=2.24e-01
progress N=2 step 18750/277470 6.8% t=100.17987 eta_s=55535.6 E=-0.99260691 P=0.80687445 dP=-0.19278444 r12=7.94047870 Vg=0.00000883 norm=1.00000000 rank=30/256 sv_max=7.45e+02 resid=2.26e-01
progress N=2 step 19000/277470 6.8% t=100.42987 eta_s=55490.7 E=-0.99158470 P=0.80607294 dP=-0.19358595 r12=7.93922146 Vg=0.00000878 norm=1.00000000 rank=30/256 sv_max=7.49e+02 resid=2.27e-01
progress N=2 step 19250/277470 6.9% t=100.60496 eta_s=55436.5 E=-0.99087128 P=0.80556319 dP=-0.19409570 r12=7.93848760 Vg=0.00000886 norm=1.00000000 rank=29/256 sv_max=7.62e+02 resid=2.26e-01
progress N=2 step 19500/277470 7.0% t=100.72996 eta_s=55387.1 E=-0.99036290 P=0.80521520 dP=-0.19444369 r12=7.93807039 Vg=0.00000894 norm=1.00000000 rank=29/256 sv_max=7.71e+02 resid=2.24e-01
progress N=2 step 19750/277470 7.1% t=100.85496 eta_s=55348.2 E=-0.98985586 P=0.80486695 dP=-0.19479194 r12=7.93773642 Vg=0.00000906 norm=1.00000000 rank=30/256 sv_max=7.77e+02 resid=2.25e-01
progress N=2 step 20000/277470 7.2% t=100.97996 eta_s=55305.7 E=-0.98934939 P=0.80452139 dP=-0.19513750 r12=7.93750967 Vg=0.00000924 norm=1.00000000 rank=30/256 sv_max=7.81e+02 resid=2.27e-01
progress N=2 step 20250/277470 7.3% t=101.10496 eta_s=55264.1 E=-0.98884439 P=0.80417834 dP=-0.19548056 r12=7.93739500 Vg=0.00000946 norm=1.00000000 rank=30/256 sv_max=7.81e+02 resid=2.31e-01
progress N=2 step 20500/277470 7.4% t=101.22996 eta_s=55225.2 E=-0.98834001 P=0.80383864 dP=-0.19582025 r12=7.93737767 Vg=0.00000967 norm=1.00000000 rank=30/256 sv_max=7.79e+02 resid=2.37e-01
progress N=2 step 20750/277470 7.5% t=101.35496 eta_s=55184.5 E=-0.98783669 P=0.80350427 dP=-0.19615463 r12=7.93742332 Vg=0.00000979 norm=1.00000000 rank=30/256 sv_max=7.76e+02 resid=2.44e-01
progress N=2 step 21000/277470 7.6% t=101.47996 eta_s=55145.4 E=-0.98733434 P=0.80317461 dP=-0.19648428 r12=7.93749009 Vg=0.00000976 norm=1.00000000 rank=30/256 sv_max=7.72e+02 resid=2.50e-01
progress N=2 step 21250/277470 7.7% t=101.60496 eta_s=55108.2 E=-0.98683268 P=0.80284585 dP=-0.19681304 r12=7.93754613 Vg=0.00000955 norm=1.00000000 rank=30/256 sv_max=7.69e+02 resid=2.55e-01
progress N=2 step 21500/277470 7.7% t=101.72996 eta_s=55071.6 E=-0.98633237 P=0.80251313 dP=-0.19714576 r12=7.93758044 Vg=0.00000917 norm=1.00000000 rank=30/256 sv_max=7.66e+02 resid=2.55e-01
progress N=2 step 21750/277470 7.8% t=101.85496 eta_s=55025.4 E=-0.98583261 P=0.80217629 dP=-0.19748260 r12=7.93760554 Vg=0.00000865 norm=1.00000000 rank=29/256 sv_max=7.64e+02 resid=2.47e-01
progress N=2 step 22000/277470 7.9% t=101.97996 eta_s=54962.5 E=-0.98533421 P=0.80183783 dP=-0.19782106 r12=7.93763124 Vg=0.00000809 norm=1.00000000 rank=29/256 sv_max=7.60e+02 resid=2.32e-01
progress N=2 step 22250/277470 8.0% t=102.10496 eta_s=54862.6 E=-0.98483654 P=0.80149427 dP=-0.19816462 r12=7.93763605 Vg=0.00000758 norm=1.00000000 rank=29/256 sv_max=7.58e+02 resid=2.15e-01
progress N=2 step 22500/277470 8.1% t=102.22996 eta_s=54812.1 E=-0.98433985 P=0.80114039 dP=-0.19851850 r12=7.93758325 Vg=0.00000715 norm=1.00000000 rank=30/256 sv_max=7.61e+02 resid=1.99e-01
progress N=2 step 22750/277470 8.2% t=102.35496 eta_s=54771.9 E=-0.98384424 P=0.80078296 dP=-0.19887593 r12=7.93747589 Vg=0.00000682 norm=1.00000000 rank=30/256 sv_max=7.69e+02 resid=1.86e-01
progress N=2 step 23000/277470 8.3% t=102.47996 eta_s=54729.3 E=-0.98334918 P=0.80042907 dP=-0.19922982 r12=7.93728824 Vg=0.00000659 norm=1.00000000 rank=30/256 sv_max=7.79e+02 resid=1.77e-01
progress N=2 step 23250/277470 8.4% t=102.60496 eta_s=54689.8 E=-0.98285556 P=0.80007269 dP=-0.19958620 r12=7.93698203 Vg=0.00000644 norm=1.00000000 rank=30/256 sv_max=7.88e+02 resid=1.71e-01
progress N=2 step 23500/277470 8.5% t=102.72996 eta_s=54650.9 E=-0.98236246 P=0.79970334 dP=-0.19995555 r12=7.93653963 Vg=0.00000634 norm=1.00000000 rank=30/256 sv_max=7.97e+02 resid=1.68e-01
progress N=2 step 23750/277470 8.6% t=102.85496 eta_s=54612.8 E=-0.98187059 P=0.79931186 dP=-0.20034703 r12=7.93596941 Vg=0.00000629 norm=1.00000000 rank=30/256 sv_max=8.04e+02 resid=1.65e-01
progress N=2 step 24000/277470 8.6% t=102.97996 eta_s=54569.8 E=-0.98137956 P=0.79889396 dP=-0.20076493 r12=7.93529295 Vg=0.00000632 norm=1.00000000 rank=30/256 sv_max=8.09e+02 resid=1.62e-01
progress N=2 step 24250/277470 8.7% t=103.10496 eta_s=54507.8 E=-0.98088936 P=0.79845111 dP=-0.20120778 r12=7.93451571 Vg=0.00000643 norm=1.00000000 rank=30/256 sv_max=8.07e+02 resid=1.59e-01
progress N=2 step 24500/277470 8.8% t=103.22996 eta_s=54452.8 E=-0.98040039 P=0.79798954 dP=-0.20166935 r12=7.93362088 Vg=0.00000660 norm=1.00000000 rank=30/256 sv_max=7.98e+02 resid=1.57e-01
progress N=2 step 24750/277470 8.9% t=103.35496 eta_s=54404.2 E=-0.97991196 P=0.79751726 dP=-0.20214163 r12=7.93259053 Vg=0.00000679 norm=1.00000000 rank=30/256 sv_max=7.85e+02 resid=1.56e-01
progress N=2 step 25000/277470 9.0% t=103.47996 eta_s=54355.8 E=-0.97942497 P=0.79704070 dP=-0.20261819 r12=7.93140958 Vg=0.00000694 norm=1.00000000 rank=30/256 sv_max=7.75e+02 resid=1.55e-01
progress N=2 step 25250/277470 9.1% t=103.60496 eta_s=54305.4 E=-0.97893863 P=0.79656381 dP=-0.20309508 r12=7.93006968 Vg=0.00000699 norm=1.00000000 rank=30/256 sv_max=7.70e+02 resid=1.55e-01
progress N=2 step 25500/277470 9.2% t=103.72996 eta_s=54263.9 E=-0.97845337 P=0.79608760 dP=-0.20357129 r12=7.92858009 Vg=0.00000690 norm=1.00000000 rank=30/256 sv_max=7.69e+02 resid=1.54e-01
